|track                                                                                                                                                                                            |artist                                                 |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------|
|Invincible                                                                                                                                                                                       |Adelitas Way                                           |
|Fall Apart                                                                                                                                                                                       |1208                                                   |
|Animal I Have Become                                                                                                                                                                             |Three Days Grace                                       |
|Leave It All Behind                                                                                                                                                                              |Cult To Follow                                         |
|Monster                                                                                                                                                                                          |Skillet                                                |
|Headstrong                                                                                                                                                                                       |Trapt                                                  |
|Hail to the King                                                                                                                                                                                 |Avenged Sevenfold                                      |
|Down With the Sickness                                                                                                                                                                           |Disturbed                                              |
|The Chosen Ones                                                                                                                                                                                  |Dream Evil                                             |
|Circle Of Anger                                                                                                                                                                                  |Sandberg                                               |
|Age of Seduction                                                                                                                                                                                 |Scarlet                                                |
|The Darkest Void                                                                                                                                                                                 |Engel                                                  |
|Monsters                                                                                                                                                                                         |Gothminister                                           |
|Sink to the Bottom or Swim for the Shore                                                                                                                                                         |Beneath My Feet                                        |
|Axiom Fallacy                                                                                                                                                                                    |Obsydians                                              |
|I Despise                                                                                                                                                                                        |Chaotica                                               |
|Destroy Everything                                                                                                                                                                               |Hatebreed                                              |
|Ready or Not (I'm Coming)                                                                                                                                                                        |OOMPH!                                                 |
|Northlights                                                                                                                                                                                      |Astray Valley                                          |
|Bottom Line                                                                                                                                                                                      |Swollen Members                                        |
|Don't Fall In Love (explicit)                                                                                                                                                                    |The Wreckage                                           |
|Lose Yourself                                                                                                                                                                                    |Sharks in your Mouth                                   |
|Cube                                                                                                                                                                                             |Voicians                                               |
|Stay in Shadow                                                                                                                                                                                   |Finger Eleven                                          |
|Pockets Lined with Flowers                                                                                                                                                                       |Casket Robbery                                         |
|Hey You                                                                                                                                                                                          |The Exies                                              |
|Carry On Wayward Son                                                                                                                                                                             |The Showdown                                           |
|Superfly                                                                                                                                                                                         |Super Bob                                              |
|Memory                                                                                                                                                                                           |BrokenRail                                             |
|The Takedown                                                                                                                                                                                     |Girl on Fire                                           |
|The Book of Heavy Metal (March of the Metallians)                                                                                                                                                |Dream Evil                                             |
|I Don't Feel Very Receptive Today                                                                                                                                                                |Underoath                                              |
|Down, Set, Go                                                                                                                                                                                    |Underoath                                              |
|It's Dangerous Business Walking Out Your Front Door                                                                                                                                              |Underoath                                              |
|The Blue Note - Instrumental Interlude                                                                                                                                                           |Underoath                                              |
|Reinventing Your Exit                                                                                                                                                                            |Underoath                                              |
|The Impact of Reason                                                                                                                                                                             |Underoath                                              |
|A Boy Brushed Red Living In Black And White                                                                                                                                                      |Underoath                                              |
|Young and Aspiring                                                                                                                                                                               |Underoath                                              |
|Praise                                                                                                                                                                                           |Sevendust                                              |
|The Broken                                                                                                                                                                                       |Fireball Ministry                                      |
|Feed the Fire                                                                                                                                                                                    |Euge Valovirta                                         |
|Bloodwork                                                                                                                                                                                        |36 Crazyfists                                          |
|Soulcrusher                                                                                                                                                                                      |Operator                                               |
|Please Come for Me                                                                                                                                                                               |Korn                                                   |
|Smell of Yellow and Black                                                                                                                                                                        |Codeseven                                              |
|Landmarks                                                                                                                                                                                        |The Blueprint                                          |
|Over                                                                                                                                                                                             |The Blueprint                                          |
|Scrape                                                                                                                                                                                           |Unsane                                                 |
|Grind and Click                                                                                                                                                                                  |earthtone9                                             |
|The High Cost of Living                                                                                                                                                                          |The Blueprint                                          |
|Answers                                                                                                                                                                                          |The Blueprint                                          |
|No Logic No Reason                                                                                                                                                                               |The Blueprint                                          |
|Approx. Purified                                                                                                                                                                                 |earthtone9                                             |
|I Wear My Skin                                                                                                                                                                                   |One Minute Silence                                     |
|Diamond Eyes [Boom-Lay Boom-Lay Boom]                                                                                                                                                            |Shinedown                                              |
|I´m Shipping Up To Boston                                                                                                                                                                        |Children of Bodom                                      |
|Forever                                                                                                                                                                                          |55 Escape                                              |
|Broken Promises                                                                                                                                                                                  |Element Eighty                                         |
|Two Weeks                                                                                                                                                                                        |All That Remains                                       |
|Vilify                                                                                                                                                                                           |Device                                                 |
|Arterial Black                                                                                                                                                                                   |Drist                                                  |
|Eye Of The Tiger - Bonus Track                                                                                                                                                                   |Light The Torch                                        |
|Time's Up                                                                                                                                                                                        |3Teeth                                                 |
|Lifelong Tragedy                                                                                                                                                                                 |Dead End Finland                                       |
|Ready Aim Fire - Owl Vision Remix                                                                                                                                                                |Blue Stahli                                            |
|From the Heart (I Hate You)                                                                                                                                                                      |Psychostick                                            |
|Game Over                                                                                                                                                                                        |Ministry                                               |
|Saeed - Paranormal Attack & Skazi Remix                                                                                                                                                          |Infected Mushroom                                      |
|The Abyss                                                                                                                                                                                        |Three Days Grace                                       |
|Dirty                                                                                                                                                                                            |Sevendust                                              |
|Drive                                                                                                                                                                                            |Matterhorn                                             |
|Gaunter O' Dimm / Hearts of Stone Theme                                                                                                                                                          |Martin Skar Berger                                     |
|Take a Long Hard Look                                                                                                                                                                            |Sulpher                                                |
|12 Études, Op. 10: No. 9 In F Minor                                                                                                                                                              |Frédéric Chopin                                        |
|The Void                                                                                                                                                                                         |Parkway Drive                                          |
|Get Hype                                                                                                                                                                                         |Discrepancies                                          |
|Last Man Standing                                                                                                                                                                                |Minniva                                                |
|Suburban Breakdown                                                                                                                                                                               |Misery Loves Co.                                       |
|Inherit the Earth                                                                                                                                                                                |Burn the Priest                                        |
|The Prophet's Song                                                                                                                                                                               |Cellar Darling                                         |
|The Bee                                                                                                                                                                                          |Amorphis                                               |
|Cult of the Vulture                                                                                                                                                                              |Mass Murder Agenda                                     |
|Fistful of Fuck You                                                                                                                                                                              |Faderhead                                              |
|Arisen My Senses - Jlin Rework                                                                                                                                                                   |Björk                                                  |
|Psycho                                                                                                                                                                                           |Breaking Benjamin                                      |
|Kamikaze Angel - Six Faces Remix                                                                                                                                                                 |Helalyn Flowers                                        |
|BIG TINGS                                                                                                                                                                                        |Skindred                                               |
|Last Night on Earth (Nigel Stanford Remix) - Instrumental                                                                                                                                        |Celldweller                                            |
|Ebb and Flow - [:SITD:] Remix                                                                                                                                                                    |Aesthetic Perfection                                   |
|Fake                                                                                                                                                                                             |Five Finger Death Punch                                |
